code,Ingredients,protein,carbohydrates,fats,minerals,fibre,calories
C017,Cauliflower leaves (Brassica oleracea var. botrytis),3.9,3.39,0.42,1.22,3.43,35.372888
C018,"Colocasia leaves, green (Colocasia anti-quorum)",3.42,3.69,1.38,2.3,5.6,43.499092
C019,Drumstick leaves (Moringa oleifera),6.41,5.62,1.64,2.46,8.21,67.399692
C020,Fenugreek leaves (Trigonella foenum graecum),3.68,2.17,0.83,1.69,4.9,34.416864
C021,Garden cress (Lepidium sativum),5.62,4.48,0.8,2.48,2.6,49.713248
C022,"Gogu leaves, green (Hibiscus cannabinus)",1.86,4.06,1.09,0.98,4.59,36.328912
C023,"Gogu leaves, red (Hibiscus cannabinus)",1.85,4.24,1.07,0.97,3.89,36.567918
C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",3.12,6.16,0.35,1.42,2.76,42.543068
C025,Lettuce (Lactuca sativa),1.54,3.01,0.27,1.11,1.79,21.749546
C026,Mustard leaves (Brassica juncea),3.52,2.41,0.51,1.47,3.92,30.353762
C027,Pak Choi leaves (Brassica rapa var. Chinensis),1.41,1.78,0.25,1.1,1.91,16.013402
C028,Parsley (Petroselinum crispum),5.55,9.43,1.14,2.25,3.87,72.89683
C029,Ponnaganni (Alternanthera sessilis),5.29,5.17,0.71,2.65,6.74,50.908278
C030,"Pumpkin leaves, tender (Cucurbita maxima)",4.21,4.75,0.74,2.24,2.25,44.21611
C031,Radish leaves (Raphanus sativus),2.22,2.77,0.51,1.5,1.82,26.051654
C032,Rumex leaves (Rumex patientia),1.62,2.33,0.33,1.27,1.27,19.598492
C033,Spinach (Spinacia oleracea),2.14,2.05,0.64,2.47,2.38,24.378612
C034,"Tamarind leaves, tender (Tamarindus indica)",5.84,10.04,0.49,1.25,10.7,71.462794
D001,Ash gourd (Benincasa hispida),0.79,2.84,0.14,0.7,3.37,17.447438
D002,"Bamboo shoot, tender (Bambusa vulgaris)",1.33,1.67,0.35,0.55,1.55,16.252408
D003,"Bean scarlet, tender (Phaseolus coccineus)",2.86,5.16,0.99,0.96,4.5,42.782074
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",1.44,2.82,0.24,0.86,3.78,20.793522
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",1.34,2.53,0.24,0.81,3.49,18.881474
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1.61,2.29,0.26,0.88,3.72,19.359486
D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",0.53,1.68,0.13,0.36,2.12,10.994276
D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",0.42,2.53,0.12,0.34,2.1,13.623342
D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",0.49,2.25,0.13,0.4,2.11,12.906324
D010,Brinjal-1 (Solanum melongena),1.77,3.49,0.39,0.83,3.57,27.246684
D011,Brinjal-2 (Solanum melongena),1.82,2.71,0.34,0.85,4.01,23.661594
D012,Brinjal-3 (Solanum melongena),1.36,3.38,0.33,0.65,4.26,24.378612
D013,Brinjal-4 (Solanum melongena),1.51,3.19,0.31,0.66,4.04,23.9006
D014,Brinjal-5 (Solanum melongena),1.38,4.02,0.29,0.72,4.13,26.529666
D015,Brinjal-6 (Solanum melongena),1.46,3.29,0.29,0.72,3.68,23.183582
D016,Brinjal-7 (Solanum melongena),1.4,3.1,0.37,0.57,3.32,23.422588
D017,Brinjal-8 (Solanum melongena),1.82,3.75,0.33,0.8,4.01,27.963702
D018,Brinjal-9 (Solanum melongena),1.47,3.52,0.35,0.83,4,25.334636
D019,Brinjal-10 (Solanum melongena),1.68,4.08,0.25,0.72,3.9,27.724696
D020,Brinjal-11 (Solanum melongena),1.43,3.53,0.31,0.68,4.12,25.09563
D021,Brinjal-12 (Solanum melongena),1.6,2.73,0.27,0.58,3.89,22.227558
D022,Brinjal-13 (Solanum melongena),1.49,4.51,0.31,0.64,3.92,29.636744
D023,Brinjal-14 (Solanum melongena),1.56,3.27,0.35,0.64,3.87,25.334636
D024,Brinjal-15 (Solanum melongena),1.58,3.96,0.29,0.74,3.99,27.246684
D025,Brinjal-16 (Solanum melongena),1.26,3.46,0.34,0.8,3.74,24.617618
D026,Brinjal-17 (Solanum melongena),1.18,2.89,0.36,0.81,3.94,21.749546
D027,Brinjal-18 (Solanum melongena),1.47,4.1,0.33,0.66,4.38,27.724696
D028,Brinjal-19 (Solanum melongena),1.26,3.39,0.31,0.66,3.97,23.9006
D029,Brinjal-20 (Solanum melongena),1.44,3.15,0.34,0.68,3.73,23.661594
D030,Brinjal-21 (Solanum melongena),1.36,3.93,0.35,0.69,3.85,27.007678
D031,Brinjal - all varieties (Solanum melongena),1.48,3.52,0.32,0.7,3.98,25.334636
D032,Broad beans (Vicia faba),3.85,2.11,0.15,1.05,8.63,29.397738
D033,"Capsicum, green (Capsicum annuum)",1.11,1.84,0.34,0.76,2.06,16.252408
D034,"Capsicum, red (Capsicum annuum)",1.47,2.14,0.47,0.76,2.19,19.837498
D035,"Capsicum, yellow (Capsicum annuum)",1.35,1.95,0.41,0.72,2.19,18.642468
D036,Cauliflower (Brassica oleracea),2.15,2.03,0.44,0.91,3.71,22.944576
D037,Celery stalk (Apium graveolens),0.98,2.33,0.24,1.5,2.09,16.491414
D038,Cho-cho-marrow (Sechium edule),0.66,3.47,0.15,0.38,1.55,18.881474
D039,Cluster beans (Cyamopsis tetragonobola),3.55,4.91,0.37,1.68,4.83,40.153008
D040,"Colocasia, stem, black (Colocasia antiquorum)",0.76,3.83,0.34,0.91,3.01,23.9006
D041,"Colocasia, stem, green (Colocasia antiquorum)",0.91,2.86,0.22,1,2.33,19.359486
D042,"Corn, Baby (Zea mays)",2.69,11.66,1.33,2.79,6.09,73.135836
D043,"Cucumber, green, elongate (Cucumis sativus)",0.71,3.48,0.16,0.54,2.14,19.598492
D044,"Cucumber, green, short (Cucumis sativus)",0.83,2.82,0.18,0.52,2.13,17.447438
D045,"Cucumber, orange, round (Cucumis sativus)",0.98,3.01,0.24,0.52,2.46,19.598492
D046,Drumstick (Moringa oleifera),2.62,3.76,0.12,1.27,6.83,29.397738
D047,"Field beans, tender, broad (Vicia faba)",3.06,2.75,0.64,0.94,5.64,30.831774
D048,"Field beans, tender, lean (Vicia faba)",3.71,2.85,0.6,1.08,6.19,33.46084
D049,"French beans, country (Phaseolus vulgaris)",2.49,2.68,0.26,1.05,4.38,24.378612
D050,"French beans, hybrid (Phaseolus vulgaris)",2.12,2.63,0.19,0.77,4.18,22.227558
D051,"Jack fruit, raw (Artocarpus heterophyllus)",1.98,3.48,0.35,0.99,7.69,26.29066
D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5.79,11.81,0.44,1.02,8.63,76.959932
D053,Knol - Khol (Brassica oleracea),1.58,1.39,0.35,0.79,2.75,16.013402
D054,"Kovai, big (Coccinia cordifolia)",1.39,2.01,0.24,0.58,3,17.447438
