code,Ingredients,protein,carbohydrates,fats,minerals,fibre,calories
H009,"Gingelly seeds, black (Sesamum indicum)",19.17,10.29,43.1,5.78,17.16,507.648744
H010,"Gingelly seeds, brown (Sesamum indicum)",21.61,9.76,43.22,4.58,17.21,516.491966
H011,"Gingelly seeds, white (Sesamum indicum)",21.7,10.83,43.05,4.13,16.99,519.599044
H012,Ground nut (Arachis hypogea),23.65,17.27,39.63,2.11,10.38,520.077056
H013,Mustard seeds (Brassica juncea),19.51,16.8,40.19,3.73,14.1,509.560792
H014,Linseeds (Linum usitatissimum),18.55,10.99,35.67,3.15,26.17,443.834142
H015,"Niger seeds, black (Guizotia abyssinica)",18.92,22.98,38.61,3.91,10.93,512.428864
H016,"Niger seeds, gray (Guizotia abyssinica)",18.34,20.59,39.53,4.92,10.96,508.604768
H017,Pine seed (Pinus gerardiana),12.55,26.77,48.79,2.78,3.79,594.168916
H018,Pistachio nuts (Pistacla vera),23.35,15.82,42.49,3.02,10.64,539.436542
H019,Safflower seeds (Carthamus tinctorius),17.66,30.18,30.87,2.57,13.49,473.470886
H020,Sunflower seeds (Helianthus annuus),23.53,6.85,51.85,3.44,10.8,586.281718
H021,Walnut (Juglans regia),14.92,10.14,64.27,1.72,5.39,671.367854
I001,"Jaggery, cane (Saccharum officinarum)",1.85,84.87,0.16,1.92,,353.72888
I002,"Sugarcane, juice (Saccharum officinarum)",0.16,13.11,0.4,0.23,0.56,57.839452
J001,"Button mushroom, fresh (Agaricus sp.)",3.68,1.98,0.42,0.71,3.11,27.48569
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1.84,2.76,0.25,0.74,1.99,21.271534
J003,"Shiitake mushroom, fresh (Lentinula sp.)",3.19,8.98,0.76,1.11,3.02,58.078458
J004,"Oyster mushroom, dried (Pleurotus sp.)",19.04,33.07,2.86,1.41,39.12,243.547114
K001,Toddy,0.18,5.72,0.03,0.21,,24.139606
K002,Coconut Water,0.26,3.16,0.16,0.65,,15.296384
L001,"Milk, whole, Buffalo",3.68,8.39,6.58,0.67,,107.313694
L002,"Milk, whole, Cow",3.26,4.94,4.48,0.68,,72.89683
L003,Paneer,18.86,12.41,14.78,1.98,,257.887474
L004,Khoa,16.34,16.53,20.62,4,,315.965932
M001,"Egg, poultry, whole, raw",13.28,,9.15,0.81,,134.799384
M002,"Egg, poultry, white, raw",10.84,,0.06,0.75,,44.694122
M003,"Egg, poultry, yolk, raw",15.74,,26.34,1.05,,296.845452
M004,"Egg, poultry, whole, boiled",13.43,,10.54,0.86,,147.705708
M005,"Egg, poultry, white, boiled",12.37,,0.26,0.81,,52.58132
M006,"Egg, poultry, yolk, boiled",16.13,,27.46,1.38,,308.31774
M007,"Egg, poultry, omlet",16.53,,11.6,0.96,,169.69426
M008,"Egg, country hen, whole, raw",13.14,,13,0.86,,168.260224
M009,"Egg, country hen, whole, boiled",14.43,,14.1,0.94,,183.317602
M010,"Egg, country hen, omlet",14.8,,16.3,1.08,,204.35013
M011,"Egg, duck, whole, boiled",13.8,,13.61,0.97,,176.386428
M012,"Egg, duck, whole, raw",14.6,,13.83,0.99,,181.64456
M013,"Egg, duck, whole, omlet",15.1,,14.8,1.18,,192.160824
M014,"Egg, quial, whole, raw",12.39,,11.46,0.94,,151.76881
M015,"Egg, quial, whole, boiled",13.03,,11.5,0.99,,154.636882
N001,"Chicken, poultry, leg, skinless",19.44,,12.64,1.14,,383.60463
N002,"Chicken, poultry, thigh, skinless",18.18,,14.23,1.14,,199.809016
N003,"Chicken, poultry, breast, skinless",21.81,,9,1.19,,168.260224
N004,"Chicken, poultry, wing, skinless",17.42,,13.81,1.13,,192.877842
N005,"Poultry, chicken, liver",21.57,,4.08,1.11,,123.805108
N006,"Poultry, chicken, gizzard",18.22,,2.07,1.46,,92.256316
N007,"Country hen, leg, with skin",17.01,,11.73,1.2,,172.801338
N008,"Country hen, thigh, with skin",18.29,,12.82,1.23,,187.61971
N009,"Country hen, breast, with skin",22.08,,10.2,1.14,,179.971518
N010,"Country hen, wing, with skin",18.65,,12.09,1.14,,182.600584
N011,"Duck, meat, with skin",19.07,,6.03,1.22,,130.736282
N012,"Emu, meat, skinless",22.65,,4.62,0.98,,132.887336
N013,"Guinea fowl, meat, with skin",20.52,,3.24,0.92,,112.093814
N014,"Pigeon, meat, with skin",17.94,,6.03,1.32,,126.195168
N015,"Quail, meat, skinless",20.92,,5.95,1.35,,137.667456
N016,"Turkey, leg, with skin",20.3,,8.15,1.21,,154.636882
N017,"Turkey, thigh, with skin",20.46,,6.31,0.97,,138.862486
N018,"Turkey, breast, with skin",21.96,,8.04,1.01,,160.373026
N019,"Turkey, wing, with skin",21.91,,10.77,0.97,,184.273626
O001,"Goat, shoulder",20.33,,11.94,0.9,,188.097722
O002,"Goat, chops",20.39,,5.98,0.99,,135.755408
O003,"Goat, legs",22.07,,7.94,0.97,,159.895014
O004,"Goat, brain",13.82,,8.06,1.29,,127.390198
O005,"Goat, tongue",16.63,,13.68,1.02,,188.575734
O006,"Goat, lungs",16.86,,3.09,0.74,,95.841406
O007,"Goat, heart",19.38,,4.4,0.95,,117.590952
O008,"Goat, liver",20.32,,4.88,1.3,,125.717156
O009,"Goat, tripe",15.36,,3.36,0.23,,92.256316
O010,"Goat, spleen",18.45,,2.37,1.15,,95.841406
O011,"Goat, kidneys",15.6,,2.93,1.1,,89.388244
O012,"Goat, tube (small intestine)",12.92,,8.26,0.54,,125.47815
O013,"Goat, testis",12.32,,2.39,0.87,,71.223788
O014,"Sheep, shoulder",18.24,,14.31,0.86,,200.76504
O015,"Sheep, chops",18,,5.15,1.09,,118.546976
O016,"Sheep, leg",21.42,,8.69,0.94,,163.958116
O017,"Sheep, brain",13.05,,7.29,1.19,,117.590952
O018,"Sheep, tongue",16.61,,13.53,1.06,,187.141698
O019,"Sheep, lungs",16.12,,2.41,0.97,,86.759178
O020,"Sheep, heart",18.19,,3.66,0.97,,106.35767
O021,"Sheep, liver",22.26,,4.87,1.26,,133.604354
O022,"Sheep, tripe",16.76,,4.05,0.26,,103.96761
O023,"Sheep, spleen",16.02,,3.02,1.17,,91.778304
O024,"Sheep, kidneys",16.22,,2.92,1,,91.778304
O025,"Beef, shoulder",20.56,,14.59,0.95,,212.476334
O026,"Beef, chops",19.82,,6.71,0.96,,139.81851
O027,"Beef, round (leg)",22.64,,7.38,1.19,,157.265948
O028,"Beef, brain",10.55,,9.28,1.37,,125.000138
O029,"Beef, tongue",15.63,,12.57,0.73,,174.713386
O030,"Beef, lungs",15.66,,2.28,1.13,,83.891106
O031,"Beef, heart",17.68,,3.57,0.87,,103.489598
O032,"Beef, liver",20.73,,3.96,1.07,,119.263994
O033,"Beef, tripe",13.1,,2.51,0.55,,75.525896
O034,"Beef, spleen",17.42,,2.22,1.22,,90.344268
O035,"Beef, kidneys",17.09,,4.01,1.22,,104.923634
O036,"Calf, shoulder",20.98,,7.47,0.94,,151.290798
O037,"Calf, chops",22.47,,3.85,0.92,,125.239144
O038,"Calf, round (leg)",21.1,,6.92,0.74,,146.98869
O039,"Calf, brain",9.84,,7.6,1.26,,107.074688
O040,"Calf, tongue",17.78,,11.76,0.93,,176.147422
O041,"Calf, heart",18.84,,3.75,0.86,,109.703754
O042,"Calf, liver",21.02,,3.95,1.26,,120.220018
O043,"Calf, spleen",17.71,,2.12,1.41,,90.583274
O044,"Calf, kidneys",15.16,,3.5,1.02,,92.495322
O045,"Mithun, shoulder",19.05,,11.14,0.84,,175.908416
O046,"Mithun, chops",18.19,,6.12,0.79,,128.107216
O047,"Mithun, round (leg)",19.61,,4.1,0.9,,115.91791
O048,"Pork, shoulder",17.41,,18.83,0.75,,237.332958
O049,"Pork, chops",19.41,,11.3,0.64,,178.776488
O050,"Pork, ham",18.83,,18.55,0.62,,240.440036
O051,"Pork, lungs",15.13,,2.74,0.93,,85.564148
O052,"Pork, heart",16.31,,4.87,1.01,,109.225742
O053,"Pork, liver",19.89,,3.94,1.18,,115.678904
O054,"Pork, stomach",15.36,,7.81,0.23,,131.4533
O055,"Pork, spleen",15.13,,2.71,1.13,,85.325142
O056,"Pork, kidneys",14.35,,3.65,0.97,,90.583274
O057,"Pork, tube (small intestine)",14.96,,8.98,0.55,,140.296522
O058,"Hare, shoulder",21.13,,6.58,1.17,,144.120618
O059,"Hare, chops",20.62,,2.55,1.27,,106.35767
O060,"Hare, leg",20.52,,4.16,1.26,,120.220018
O061,"Rabbit, shoulder",20.01,,7.96,1.19,,151.76881
O062,"Rabbit, chops",22.61,,4.88,1.35,,135.03839
O063,"Rabbit, leg",21.31,,5.99,1.26,,139.579504
P001,Allathi (Elops machnata),21.77,,0.98,1.06,,97.036436
P002,Aluva (Parastromateus niger),21.63,,1.8,1.39,,103.728604
P003,Anchovy (Stolephorus indicus),19.88,,0.78,1.62,,87.715202
P004,Ari fish (Aprion virescens ),22.01,,1.11,1.34,,99.18749
P005,Betki (Lates calcarifer),15.28,,0.29,1.12,,67.877704
P006,Black snapper (Macolor niger),19.5,,1.24,1.19,,90.105262
P007,Bombay duck (Harpadon nehereus),13.53,,1.03,1.07,,68.594722
P008,Bommuralu (Muraenesox cinerius),22.3,,2.87,1.21,,115.91791
P009,Cat fish (Tachysurus thalassinus),22.18,,2.13,1.32,,108.986736
P010,Chakla (Rachycentron canadum),20.21,,1.68,1.07,,97.036436
P011,Chappal (Aluterus monoceros ),17.17,,0.67,1.23,,75.764902
P012,Chelu (Elagatis bipinnulata),20.02,,0.7,1.28,,87.476196
P013,Chembali (Lutjanus quinquelineatus),20.06,,1.77,0.86,,97.036436
P014,Eri meen (Pristipomoides filamentosus),22.3,,2.02,1.28,,108.508724
P015,Gobro (Epinephelus diacanthus),19.37,,0.88,0.98,,86.520172
P016,Guitar fish (Rhinobatus prahli),22.56,,0.44,1.32,,95.6024
P017,Hilsa (Tenualosa ilisha),21.8,,18.49,1.11,,258.843498
P018,Jallal (Arius sp.),21.55,,1.46,1.17,,100.38252
P019,Jathi vela meen (Lethrinus lentjan),22.45,,1.92,1.26,,108.269718
P020,Kadal bral (Synodus indicus),18.72,,1.34,1.27,,87.954208
P021,Kadali (Nemipterus mesoprion),22.07,,4.2,1.06,,126.67318
P022,Kalamaara (Leptomelanosoma indicum),20.89,,4.54,1.08,,125.000138
P023,Kalava (Epinephelus coioides),19.38,,1.2,1.34,,89.388244
P024,Kanamayya (Lutjanus rivulatus),20.19,,0.65,1.07,,87.715202
P025,Kannadi paarai (Alectis indicus),22.09,,1.27,1.28,,101.099538
P026,Karimeen (Etroplus suratensis),19.68,,1.38,0.97,,92.256316
P027,Karnagawala (Anchoa hepsetus),19.52,,0.84,1.45,,86.759178
P028,Kayrai (Thunnus albacores),20.15,,3,1.28,,108.508724
P029,Kiriyan (Atule mate),22.49,,4.7,0.94,,132.887336
P030,Kite fish (Mobula kuhlii),23.07,,0.56,1.5,,98.709478
P031,Korka (Terapon jarbua),23.72,,3.36,1.09,,126.195168
P032,Kulam paarai (Carangoides fulvoguttatus),21.62,,3.6,1.25,,119.742006
P033,Maagaa (Polynemus plebeius),20.11,,0.67,1.01,,87.476196
P034,Mackerel (Rastrelliger kanagurta),21.51,,1.53,1.2,,101.099538
P035,Manda clathi (Naso reticulatus),21.27,,1,1.48,,95.124388
P036,Matha (Acanthurus mata),21.17,,0.79,1.35,,92.973334
P037,Milk fish (Chanos chanos),23.66,,1.09,1.12,,105.640652
P038,Moon fish (Mene maculata),20.74,,4.69,1.69,,125.717156
P039,Mullet (Mugil cephalus),20.23,,1.32,1.16,,93.929358
P040,Mural (Tylosurus crocodilus crocodilus),19.04,,0.58,1.11,,82.45707
P041,Myil meen (Istiophorus platypterus),22.89,,0.56,1.21,,97.99246
P042,Nalla bontha (Epinephelus sp.),19.82,,0.72,1,,86.998184
P043,Narba (Caranx sexfasciatus),21.95,,1.6,1.17,,103.250592
P044,Paarai (Caranx heberi),21.58,,1.84,1.21,,103.96761
P045,Padayappa (Canthidermis maculata),19.7,,0.69,1.26,,86.04216
P046,Pali kora (Panna microdon),19.25,,1.81,1,,94.168364
P047,Pambada (Lepturacanthus savala),21.95,,4.44,1.41,,128.346222
P048,Pandukopa (Pseudosciaena manchurica),19.73,,0.65,1.15,,86.04216
P049,Parava (Lactarius lactarius),21.5,,2.74,1.08,,111.615802
P050,Parcus (Psettodes erumei),19.87,,0.62,1.12,,86.281166
P051,Parrot fish (Scarus ghobban),20.82,,0.57,1.4,,89.62725
P052,Perinkilichai (Pinjalo pinjalo),20.89,,0.87,1.02,,92.495322
P053,Phopat (Coryphaena hippurus),22.05,,1.33,1.24,,101.338544
P054,Piranha (Pygopritis sp.),20.46,,5.43,0.93,,131.214294
P055,"Pomfret, black (Parastromateus niger)",18.91,,4.83,0.97,,123.08809
P056,"Pomfret, snub nose (Trachinotus blochii)",21.05,,0.46,1.29,,89.62725
P057,"Pomfret, white (Pampus argenteus)",19.02,,5.12,1.01,,122.610078
P058,Pranel (Gerres sp.),19.69,,1.89,0.76,,96.79743
P059,Pulli paarai (Gnathanodon speciosus),20.06,,1.55,1.19,,95.363394
P060,Queen fish (Scomberoides commersonianus),20.97,,1.17,1.22,,95.6024
P061,Raai fish (Lobotes surinamensis),21.61,,1.69,1.11,,102.77258
P062,Raai vanthu (Epinephelus chlorostigma),19.39,,2.17,0.92,,97.99246
P063,Rani (Pink perch),18.83,,1.49,1.01,,90.105262
P064,"Ray fish, bow head, spotted (Rhina ancylostoma)",19.03,,0.7,1.15,,83.413094
P065,Red snapper (Lutjanus argentimaculatus),22.79,,1.34,1.26,,104.445622
P066,"Red snapper, small (Priacanthus hamrur)",21.5,,2.3,1.1,,107.791706
P067,Sadaya (Platax orbicularis ),20.68,,2.97,1.32,,110.420772
P068,Salmon (Salmo salar),20.97,,9.86,1.13,,172.323326
P069,Sangada (Nemipterus japonicus),20.26,,2.67,1.26,,105.879658
P070,Sankata paarai (Caranx ignobilis),21.87,,1.68,1.18,,103.728604
P071,Sardine (Sardinella longiceps),17.91,,8.99,0.84,,152.246822
P072,Shark (Carcharhinus sorrah),21.6,,0.83,1.08,,95.124388
P073,"Shark, hammer head (Sphyrna mokarran)",23.4,,0.8,0.92,,103.250592
P074,"Shark, spotted (Stegostoma fasciatum)",20.95,,0.75,1.04,,91.778304
P075,Shelavu (Sphyraena jello),22.46,,1.74,1.26,,106.596676
P076,Silan (Silonia silondia),22.72,,6.68,0.77,,151.290798
P077,Silk fish (Beryx sp.),20.65,,1.53,1.05,,97.514448
P078,Silver carp (Hypophthalmichthys molitrix),21.71,,5.17,0.95,,132.64833
P079,Sole fish (Cynoglossus arel),19.05,,1.18,1.06,,87.715202
P080,Stingray (Dasyatis pastinaca),23.98,,0.68,1.14,,97.514448
P081,Tarlava (Drepane punctata),21.72,,1.2,1.14,,98.948484
P082,Tholam (Plectorhinchus schotaf),20.78,,2.13,1.06,,103.250592
P083,Tilapia (Oreochromis niloticus),18.48,,1.08,1.18,,83.413094
P084,Tuna (Euthynnus affinis),24.5,,1.44,1.11,,112.33282
P085,"Tuna, striped (Katsuwonus pelamis)",21.28,,1.12,0.87,,96.319418
P086,Valava (Chirocentrus nudus),21.8,,1.06,1.27,,97.99246
P087,Vanjaram (Scomberomorus commerson ),22.28,,5.18,1.33,,136.23342
P088,Vela meen (Aprion virescens),22.16,,4.34,1.34,,128.346222
P089,Vora (Siganus javus),20.14,,2.14,1.26,,100.860532
P090,Whale shark (Galeocerdo cuvier),21.83,,0.82,1.48,,95.841406
P091,Xiphinis (Xiphias gladius),19.82,,0.88,1.15,,88.43222
P092,"Eggs, Cat fish (Ompok bimaculatus)",24.68,,5.28,1.57,,143.4036
Q001,Crab (Menippe mercenaria),10.23,,1.41,1.74,,81.979058
Q002,"Crab, sea (Portunus sanguinolentus)",15.36,,0.6,0.92,,67.638698
Q003,"Lobster, brown (Thenus orientalis)",15.96,,0.56,1.29,,69.789752
Q004,"Lobster, king size (Thenus orientalis)",18.54,,0.78,1.08,,89.62725
Q005,Mud crab (Scylla tranquebarica),10,,0.55,2.6,,45.41114
Q006,Oyster (Crassostrea sp.),9.51,,2.44,2.47,,60.229512
Q007,"Tiger prawns, brown (Solenocera crassicornis)",14.85,,0.56,0.94,,65.248638
Q008,"Tiger Prawns, orange (Penaeus monodon)",14.25,,0.74,0.83,,64.53162
R001,"Clam, green shell (Perna viridis)",12.14,,0.98,2.44,,58.078458
R002,"Clam, white shell, ribbed (Meretrix meretrix)",11.82,,1.34,0.85,,59.7515
R003,Octopus (Octopus vulgaris),14.71,,1.12,1.21,,79.828004
R004,"Squid, black (Loligo sp.)",16.1,,1.07,0.99,,80.06701
R005,"Squid, hard shell (Sepia pharaonis)",16.82,,0.93,0.75,,76.48192
R006,"Squid, red (Loligo duvauceli)",16.25,,1.44,1.15,,78.632974
R007,"Squid, white, small (Uroteuthis duvauceli )",17.41,,1.15,1.19,,84.369118
S001,Cat fish (Tandanus tandanus),15.86,,6.24,0.93,,123.805108
S002,Catla (Catla catla),17.94,,2.15,0.94,,94.168364
S003,Freshwater Eel (Anguilla anguilla),20.41,,2.63,1.03,,107.791706
S004,Gold fish (Carassius auratus),16.91,,2.94,1.1,,94.646376
S005,Pangas (Pangasianodon hypophthalmus),17.12,,16.77,1.12,,203.633112
S006,Rohu (Labeo rohita),19.71,,2.39,1.28,,102.294568
S007,Crab (Pachygrapsus sp.),13.23,,0.89,1.23,,78.154962
S008,"Prawns, big (Macrobrachium rosenbergii)",19.24,,0.52,0.84,,90.82228
S009,"Prawns, small (Macrobrachium sp.)",13.07,,0.78,0.86,,70.984782
S010,Tiger prawns (Macrobrachium sp.),14.24,,0.66,0.83,,67.877704
